ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Sablefish,23.4,1.61,1.84,0.0,0.0,0.0,4.33,0.15,28.83,42.93,0.0,5.87
Safflower Sd Krnls,51.7,1.62,3.84,3.43,0.0,0.0,7.8,0.49,0.3,68.7,0.0,0.0
Safflower Sd Meal,34.2,3.56,0.24,4.87,0.0,0.0,7.7,0.49,0.3,6.8,0.0,0.0
Sage,31.5,1.06,1.27,6.07,4.03,0.17,165.2,2.81,1.1,107.0,3.24,0.0
Salad Dressing,39.0,0.09,3.34,2.38,0.01,2.01,1.4,0.02,71.0,0.9,0.0,2.6
Salami,32.4,2.17,2.47,0.21,0.0,0.05,1.9,0.14,168.08,32.2,0.0,8.6
Salmon,16.56,2.36,0.73,0.0,0.0,0.0,7.65,0.07,21.57,40.76,0.08,6.1
Salmonberries,4.7,0.08,0.03,1.01,0.19,0.37,1.3,0.04,1.4,11.0,0.92,0.0
Salsify,7.27,0.29,0.02,1.64,0.32,0.19,5.13,0.06,9.6,31.53,0.57,0.0
Salt,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.03,3875.8,0.8,0.0,0.0
Sandwich Sprd,38.9,0.09,3.4,2.24,0.04,1.52,1.4,0.02,100.0,3.5,0.0,7.6
Sandwich Spread,19.2,0.78,1.32,1.05,0.17,0.23,2.8,0.11,82.15,22.5,0.0,1.9
Sandwiches&Burgers,24.7,1.66,0.86,2.56,0.0,0.0,7.45,0.27,65.95,22.65,0.14,4.0
Sapodilla,8.3,0.04,0.11,2.0,0.53,0.0,2.1,0.08,1.2,19.3,1.47,0.0
Sapotes,13.4,0.21,0.06,3.38,0.26,0.0,3.9,0.1,1.0,34.4,2.0,0.0
Sardine,19.7,2.27,1.1,0.04,0.01,0.02,31.1,0.26,45.95,36.9,0.05,10.15
Sauce,15.22,0.43,0.67,1.88,0.14,0.8,9.91,0.1,136.61,29.57,0.91,0.66
