ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Tea,14.18,0.26,0.02,3.33,0.11,1.17,1.6,0.11,5.9,102.17,0.48,0.0
Teff,23.4,0.86,0.15,4.65,0.4,0.09,9.0,0.38,0.6,21.35,0.0,0.0
Tempeh,19.6,1.82,1.14,0.94,0.0,0.0,9.6,0.21,1.4,40.1,0.0,0.0
Tennis Bread,25.8,0.9,0.11,5.33,0.26,0.3,6.7,0.34,81.0,10.0,0.0,0.0
The Budget Gourmet,14.3,0.43,1.07,0.74,0.15,0.0,15.7,0.13,42.2,0.0,1.75,2.7
Thuringer,36.2,1.74,3.04,0.33,0.0,0.09,0.9,0.2,130.0,26.0,1.66,7.4
Thyme,10.1,0.56,0.17,2.44,1.4,0.0,40.5,1.74,0.9,60.9,16.01,0.0
Tilefish,12.15,2.1,0.35,0.0,0.0,0.0,2.6,0.03,5.6,47.25,0.0,5.7
Tky,12.8,0.7,0.39,1.63,0.13,0.48,2.7,0.08,42.0,23.0,0.08,1.4
Toaster Pastries,39.85,0.47,1.12,7.06,0.11,3.18,2.42,0.36,37.83,10.21,0.0,0.0
Tofu,18.4,1.62,1.2,0.67,0.16,0.03,54.24,0.38,45.0,12.3,0.03,0.0
Tomatillos,3.2,0.1,0.1,0.58,0.19,0.39,0.7,0.06,0.1,26.8,1.17,0.0
Tomato Juc,1.7,0.08,0.0,0.42,0.04,0.36,1.0,0.04,13.95,22.9,1.83,0.0
Tomato Products,4.6,0.2,0.05,1.03,0.21,0.47,2.07,0.16,40.16,50.24,1.37,0.03
Tomato Sau,4.2,0.13,0.02,0.87,0.15,0.52,1.4,0.08,1.1,37.1,1.31,0.0
Tomato&Veg Juc,2.2,0.06,0.01,0.46,0.08,0.38,1.1,0.04,7.0,19.3,2.77,0.0
Tomatoes,5.46,0.23,0.15,1.0,0.21,0.41,2.81,0.15,29.03,54.06,2.2,0.0
Toppings,30.58,0.14,0.45,6.71,0.09,2.64,2.06,0.04,10.68,6.68,0.35,0.02
Tortellini,30.7,1.35,0.72,4.7,0.19,0.09,15.2,0.15,34.4,8.9,0.0,4.2
Tortilla,23.7,0.73,0.1,4.99,0.24,0.28,7.0,0.38,48.2,10.5,0.0,0.0
Tortilla Chips,45.0,0.94,1.47,7.22,0.53,0.06,16.18,0.19,41.05,24.4,0.03,0.12
Tortillas,26.92,0.71,0.5,4.95,0.45,0.07,10.6,0.23,29.25,15.65,0.0,0.0
Trail Mix,45.98,1.25,2.79,4.9,0.0,0.0,8.62,0.31,7.94,67.5,0.26,0.16
Tree Fern,4.0,0.03,0.01,1.09,0.37,0.0,0.8,0.02,12.3,0.5,3.0,0.0
Triticale Flr,33.8,1.32,0.18,7.31,1.46,0.0,3.5,0.26,0.2,46.6,0.0,0.0
Trout,15.23,2.27,0.62,0.0,0.0,0.0,6.73,0.08,4.72,44.08,0.19,6.45
Tuna,14.76,2.62,0.4,0.0,0.0,0.0,1.46,0.11,13.73,32.46,0.03,3.85
Turbot,10.85,1.83,0.34,0.0,0.0,0.0,2.05,0.04,17.1,27.15,0.17,5.5
Turkey,18.25,2.36,0.9,0.02,0.0,0.0,2.06,0.2,12.71,25.58,0.07,9.22
Turkey And Gravy,6.7,0.59,0.26,0.46,0.0,0.0,1.4,0.09,55.4,6.1,0.0,1.8
Turkey Bacon,38.2,2.96,2.79,0.31,0.0,0.0,0.9,0.21,228.5,39.5,0.0,9.8
Turkey Breast,12.6,2.22,0.35,0.0,0.0,0.0,0.9,0.07,39.7,24.8,0.0,4.2
Turkey Ham,12.5,1.86,0.43,0.25,0.01,0.07,0.65,0.18,107.6,29.3,0.44,6.95
Turkey Patties,28.3,1.4,1.8,1.57,0.05,0.03,1.4,0.22,80.0,27.5,0.0,7.5
Turkey Pot Pie,17.6,0.65,0.88,1.77,0.11,0.0,0.0,0.1,35.0,0.0,0.0,1.6
Turkey Roll,12.35,1.65,0.43,0.36,0.0,0.0,1.95,0.09,81.4,34.85,0.0,4.45
Turkey Rst,13.75,1.95,0.4,0.47,0.0,0.0,0.3,0.19,67.9,32.9,0.0,5.3
Turkey Sausage,18.37,1.99,0.96,0.37,0.01,0.0,2.4,0.15,62.5,25.57,0.1,7.5
Turkey Stks,27.9,1.42,1.69,1.7,0.0,0.0,1.4,0.22,83.8,26.0,0.0,6.4
Turkey Thigh,15.7,1.88,0.85,0.0,0.0,0.0,0.8,0.15,43.7,24.1,0.0,6.2
Turkey&Pork Sausage,30.7,2.27,2.3,0.07,0.0,0.0,3.2,0.16,87.8,33.7,0.11,8.4
Turmeric,35.4,0.78,0.99,6.49,2.11,0.32,18.3,4.14,3.8,252.5,2.59,0.0
Turnip Greens,3.2,0.15,0.03,0.71,0.32,0.08,19.0,0.11,4.0,29.6,6.0,0.0
Turnip Grns,2.19,0.2,0.03,0.39,0.28,0.04,13.31,0.14,12.54,18.86,2.23,0.0
Turnip Grns&Turnips,3.0,0.28,0.03,0.43,0.29,0.07,12.33,0.17,9.73,17.13,2.07,0.0
Turnips,2.2,0.11,0.02,0.46,0.19,0.23,2.87,0.06,11.7,16.73,0.94,0.0
Turtle,8.9,1.98,0.05,0.0,0.0,0.0,11.8,0.14,6.8,23.0,0.0,5.0
Tyson Chick Fajita Kit,12.0,0.64,0.33,1.62,0.17,0.2,2.0,0.11,34.4,0.0,1.87,1.1
USDA Cmdty,21.98,1.48,1.11,1.61,0.16,0.24,4.62,0.17,53.46,22.51,0.04,4.36
USDA Cmdty Chick,16.2,2.75,0.57,0.0,0.0,0.0,1.2,0.12,27.1,18.9,0.0,8.3
USDA Cmdty Fd,88.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDA Cmdty Peaches,6.1,0.06,0.02,1.56,0.07,1.06,0.3,0.02,0.7,8.7,0.25,0.0
USDA Cmdty Pears,5.65,0.03,0.02,1.46,0.19,0.97,0.7,0.03,0.45,8.0,0.06,0.0
USDA Commodity,19.4,1.55,1.23,0.45,0.03,0.04,5.94,0.16,36.85,26.1,0.36,5.36
Vanilla Extract,14.65,0.0,0.0,0.84,0.0,0.72,0.15,0.01,0.35,4.9,0.0,0.0
Veal,18.79,2.43,0.92,0.04,0.0,0.0,1.7,0.16,9.4,31.3,0.41,21.99
Vegetable Juc Cocktail,1.9,0.06,0.01,0.45,0.08,0.33,1.1,0.04,27.0,19.3,2.77,0.0
Vegetable Oil,85.65,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable Oil-Butter Sprd,42.57,0.07,4.77,0.07,0.0,0.0,1.93,0.01,65.8,2.63,0.01,4.17
Vegetables,5.18,0.24,0.03,1.06,0.38,0.18,2.4,0.08,12.53,18.62,0.49,0.0
Vermicelli,33.1,0.01,0.01,8.23,0.39,1.74,5.5,0.18,0.4,0.3,0.0,0.0
Vinegar,3.65,0.01,0.0,0.46,0.0,0.38,1.15,0.03,0.95,5.65,0.01,0.0
Vinespinach,1.9,0.18,0.03,0.34,0.0,0.0,10.9,0.12,2.4,51.0,10.2,0.0
Vitasoy Usa,6.84,0.68,0.31,0.33,0.08,0.12,12.01,0.11,3.27,5.27,0.0,0.0
Waffle,29.87,0.7,0.96,4.6,0.25,0.46,20.7,0.63,68.5,13.2,0.0,1.5
Waffles,29.02,0.7,1.07,4.16,0.17,0.36,28.72,0.52,62.5,13.85,0.01,2.82
Walnuts,63.6,1.96,6.21,1.18,0.68,0.19,7.95,0.3,0.2,48.2,0.15,0.0
Walrus,21.42,2.84,1.08,0.09,0.0,0.0,0.45,1.9,0.0,0.0,0.0,2.0
Wasabi,10.9,0.48,0.06,2.35,0.78,0.0,12.8,0.1,1.7,56.8,4.19,0.0
Water,0.01,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.15,0.03,0.0,0.0
Water W/ Added Vitamins & Minerals,2.2,0.0,0.0,0.55,0.0,0.55,1.7,0.0,0.0,0.0,1.27,0.0
Waterchestnuts,7.35,0.11,0.01,1.81,0.28,0.36,0.75,0.05,1.1,35.1,0.26,0.0
Watercress,1.1,0.23,0.01,0.13,0.05,0.02,12.0,0.02,4.1,33.0,4.3,0.0
Watermelon,3.0,0.06,0.02,0.76,0.04,0.62,0.7,0.02,0.1,11.2,0.81,0.0
Watermelon Sd Krnls,55.7,2.83,4.74,1.53,0.0,0.0,5.4,0.73,9.9,64.8,0.0,0.0
Waxgourd,1.27,0.04,0.02,0.28,0.16,0.08,1.83,0.04,18.7,0.53,1.13,0.0
Weight Watchers Smart Ones,9.5,0.67,0.17,1.33,0.17,0.34,2.4,0.05,25.0,0.0,0.32,1.4
Wendy'S,23.52,1.22,1.12,2.15,0.17,0.0,5.19,0.21,42.69,23.94,0.11,3.24
Whale,39.02,2.33,3.28,0.03,0.0,0.0,0.82,1.26,3.67,13.33,0.0,5.43
Wheat,31.51,1.16,0.18,6.83,0.9,0.03,2.99,0.37,0.4,36.67,0.04,0.0
Wheat Bran,21.6,1.56,0.42,6.45,4.28,0.04,7.3,1.06,0.2,118.2,0.0,0.0
Wheat Flour,33.9,1.37,0.19,7.26,1.22,0.04,3.4,0.39,0.5,40.5,0.0,0.0
Wheat Flours,36.1,1.2,0.17,7.25,0.24,0.03,1.5,0.09,0.2,10.0,0.0,0.0
Wheat Flr,36.54,1.1,0.18,7.43,0.22,0.06,5.56,0.4,9.92,12.38,0.0,0.0
Wheat Germ,36.0,2.32,0.97,5.18,1.32,0.0,3.9,0.63,1.2,89.2,0.0,0.0
Whelk,20.6,3.58,0.06,1.16,0.0,0.0,8.5,0.75,30.9,52.05,0.54,9.75
Whey,18.58,0.66,0.05,3.95,0.0,3.95,75.0,0.06,53.72,116.82,0.06,0.3
Whipped Crm Sub,10.0,0.09,0.6,1.06,0.0,1.06,0.3,0.0,10.6,2.6,0.0,0.0
Whipped Topping,22.4,0.3,1.31,2.36,0.0,2.36,7.1,0.01,7.2,10.1,0.0,0.2
Whiskey Sour Mix,18.47,0.03,0.01,4.67,0.0,3.96,9.2,0.02,13.63,1.8,0.27,0.0
Whitefish,13.8,2.23,0.48,0.0,0.0,0.0,2.57,0.04,37.83,38.2,0.0,5.67
Whiting,10.3,2.09,0.15,0.0,0.0,0.0,5.5,0.04,10.2,34.15,0.0,7.55
Wild Rice,22.9,0.94,0.07,4.81,0.4,0.16,1.2,0.13,0.5,26.4,0.0,0.0
Willow,35.7,0.43,3.13,1.44,0.0,0.0,6.5,0.2,0.0,0.0,9.5,0.0
Wine,0.6,0.05,0.0,0.11,0.0,0.11,0.9,0.04,0.7,8.8,0.0,0.0
Winged Bean,3.7,0.53,0.07,0.32,0.0,0.0,6.1,0.11,24.0,27.4,0.98,0.0
Winged Bean Leaves,7.4,0.58,0.11,1.41,0.0,0.0,22.4,0.4,0.9,17.6,4.5,0.0
Winged Bean Tuber,14.8,1.16,0.09,2.81,0.0,0.0,3.0,0.2,3.5,58.6,0.0,0.0
Winged Bns,16.08,1.31,0.59,1.6,0.0,0.0,18.18,0.51,7.38,43.85,0.7,0.0
Wolffish,10.95,2.0,0.27,0.0,0.0,0.0,0.7,0.01,9.7,34.25,0.0,5.25
Worthington Chic-Ketts,20.4,2.59,0.92,0.46,0.37,0.08,2.1,0.34,73.7,7.9,0.0,0.0
Worthington Chili,12.3,1.04,0.42,1.09,0.34,0.13,1.8,0.32,45.3,16.2,0.0,0.0
Worthington Choplets,10.3,1.94,0.1,0.41,0.28,0.04,0.8,0.15,45.6,3.9,0.0,0.0
Worthington Diced Chik,8.0,1.47,0.06,0.37,0.14,0.01,5.5,0.19,34.4,21.6,0.0,0.1
Worthington Dinner Rst,21.3,1.6,1.35,0.69,0.3,0.1,4.6,0.45,67.1,15.0,0.0,0.1
Worthington Frichik,16.0,1.34,1.03,0.34,0.15,0.01,3.4,0.26,40.1,15.4,0.0,0.1
Worthington Fripats,20.9,2.37,0.91,0.8,0.28,0.14,9.7,0.57,51.7,18.5,0.0,0.2
Worthington Lofat Fri Chik,10.2,1.43,0.27,0.49,0.1,0.0,3.5,0.32,41.6,16.9,0.0,0.1
Worthington Lofat Veja-Links,12.3,1.58,0.48,0.43,0.12,0.07,2.1,0.57,61.2,7.1,0.0,0.2
Worthington Meatless Chick,15.3,1.61,0.8,0.43,0.24,0.08,27.2,0.38,45.2,41.2,0.0,0.1
Worthington Meatless Corned Bf,24.4,1.86,1.45,0.99,0.47,0.21,2.4,0.47,75.8,21.6,0.0,0.1
Worthington Multigrain Cutlets,10.8,1.81,0.13,0.6,0.31,0.06,1.0,0.15,31.3,3.2,0.0,0.0
Worthington Prime Stakes,13.5,1.02,0.72,0.75,0.14,0.03,1.5,0.34,48.0,10.1,0.0,0.1
Worthington Prosage Links,14.3,2.02,0.47,0.5,0.28,0.08,2.6,0.61,81.9,11.4,0.0,0.2
Worthington Prosage Roll,26.1,1.96,1.76,0.6,0.35,0.02,2.8,0.36,66.7,13.9,0.0,0.2
Worthington Saucettes,21.9,1.5,1.52,0.56,0.28,0.02,4.0,0.51,53.2,6.9,0.0,0.2
Worthington Smoked Turkey,25.1,1.85,1.61,0.79,0.11,0.24,14.7,0.54,85.9,9.8,0.0,0.0
Worthington Stakelets,21.1,1.97,1.04,0.96,0.28,0.12,7.3,0.35,65.1,19.1,0.0,0.1
Worthington Stripples,34.6,1.24,2.66,1.43,0.51,0.08,4.2,0.36,146.3,9.7,0.0,0.2
Worthington Super Links,21.9,1.45,1.54,0.55,0.18,0.06,3.4,0.43,70.8,7.7,0.0,0.1
Worthington Turkee Slices,20.2,1.45,1.36,0.56,0.0,0.13,15.0,0.41,56.5,5.9,0.0,0.1
Worthington Veg Skallops,10.9,1.99,0.12,0.46,0.34,0.03,0.7,0.14,46.0,1.7,0.0,0.0
Worthington Veg Steaks,11.3,2.07,0.12,0.5,0.22,0.05,0.6,0.58,41.7,3.2,0.0,0.0
Worthington Vegetarian Burger,12.6,1.86,0.29,0.62,0.27,0.06,0.8,0.39,45.1,4.4,0.0,0.0
Worthington Veja-Links,15.5,1.46,0.89,0.41,0.33,0.05,2.4,0.34,53.0,5.6,0.0,0.3
Worthington Wham,19.6,1.78,1.13,0.57,0.0,0.32,4.6,0.49,71.7,19.4,0.0,0.0
Yachtwurst,26.8,1.48,2.26,0.14,0.0,0.0,1.9,0.1,93.6,0.0,0.0,6.4
Yam,11.6,0.15,0.02,2.74,0.4,0.05,1.5,0.05,8.7,71.87,1.38,0.0
Yambean (Jicama),3.73,0.07,0.01,0.86,0.16,0.06,1.13,0.06,8.33,14.0,1.61,0.0
Yardlong Bean,4.7,0.26,0.02,0.89,0.0,0.0,4.6,0.08,8.27,27.33,1.71,0.0
Yardlong Bns,19.43,1.36,0.07,3.47,0.62,0.0,7.4,0.46,8.77,59.57,0.08,0.0
Yautia (Tannier),9.8,0.15,0.04,2.36,0.15,0.0,0.9,0.1,2.1,59.8,0.52,0.0
Yellowtail,16.65,2.64,0.6,0.0,0.0,0.0,2.6,0.06,4.45,47.9,0.28,6.3
Yogurt,8.42,0.45,0.11,1.44,0.01,1.05,15.16,0.01,6.77,21.41,0.07,0.47
